id;address;region;latitude;longitude
191;via Fortino 40;Lombardy;45.906593;8.6127865
192;via Vannetti 8;Trentino – Alto Adige/Südtirol;45.8862121;11.0089243
193;via Toledo 177;Campania;40.840558;14.2488138
194;via Mazzini 59;Sardinia;40.5586642;8.3179169
195;località Lucarelli 29;Tuscany;43.5177;11.3123
196;piazza Capucci 9;Piedmont;45.8822162;8.5399731
197;piazza Sandro Pertini 54 r;Liguria;44.30554;8.4814452
198;via Milite Ignoto 23;Liguria;44.2904407;9.3794106
199;via Torretta 9;Campania;40.6598;14.4339
200;via Ugo Ara 2, Isola dei Pescatori;Piedmont;45.8808;8.5405
201;via Dronero 8/c;Piedmont;44.3927474;7.5496191
202;corte Coppo, sestiere San Marco 4346/a;Veneto;45.4371;12.3327
203;via Buffolareccia 14;Marche;43.4403344;13.6207685
204;via Emilia fraz. Rampina 3 ang. via Rocca Brivio;Lombardy;45.39574;9.28757
205;via Cavour 7;Lombardy;45.4277924;9.062862
206;via della Cervia 3;Tuscany;43.8426777;10.5015972
207;via Matteotti 66;Emilia-Romagna;44.7113762;11.3059596
208;via Cavour 40;Veneto;45.3968664;10.9146027
209;via Chiesa 6;Veneto;45.6812078;11.9053395
210;via Laura 45;Campania;40.4462576;14.979413
211;via dei Prefetti 15;Lazio;41.9023707;12.476883
212;viale Roma 41;Tuscany;43.9268614;10.1993598
213;piazza dei Giudici 1;Tuscany;43.7676642;11.2559063
214;via Pergola 10;Lombardy;45.5211091;10.5267911
215;viale Morin 46;Tuscany;43.9475312;10.1801404
216;via Cavour 5;Piedmont;44.5846585;7.9686005
217;via Umberto I 14;Friuli – Venezia Giulia;46.1123702;12.8987091
218;via XX Settembre 16;Piedmont;44.2009687;7.576774
219;via Dronero 8/b;Piedmont;44.3930378;7.5491388
220;corso Risorgimento 384;Piedmont;45.4547513;8.6184229
221;piazza Sannazzaro 201/b;Campania;40.8563;14.2464
222;campo della Fava, sestiere Castello 5527;Veneto;45.6206;12.315
223;via Santa Chiara 1;Apulia;40.640804;17.945
224;via Tetti Valfrè;Piedmont;45.0055;7.5381
225;via Cagna 4;Piedmont;44.6963016;7.9268689
226;via Tortona 56;Lombardy;45.4520455;9.1613185
227;via Luca Pacioli 60;Tuscany;43.5715274;12.1397997
228;strada de la Comunità de Fiem 42;Trentino – Alto Adige/Südtirol;46.3698232;11.6526805
229;piazza del Giglio 2;Tuscany;43.8407066;10.5027237
230;via Ordanino 5b;Lombardy;45.3908977;10.4905297
231;piazza Venezia 5;Lombardy;45.7980462;8.5699321
232;litoranea Salentina;Apulia;40.3551;17.3643
233;via Minuziano 63;Apulia;41.6840727;15.3816799
234;via Marchetti 4;Veneto;45.7754979;11.6640271
235;borgata Hoffe 10;Friuli – Venezia Giulia;46.73401322;12.71269896
236;via Liguria 1, località Sarmeola;Veneto;45.6727796;11.9374501
237;via Alberto Mario 12;Veneto;45.4401801;10.9937928
238;via San Giovanni 74;Lombardy;45.6789604;8.868579
239;piazza Libertà 16;Friuli – Venezia Giulia;46.1610317;13.2162456
240;via Monte Oro 9;Trentino – Alto Adige/Südtirol;45.8866477;10.8379935
241;via Petrarca 16;Lombardy;45.4287759;9.0526022
242;via Dei Mulini 23;Campania;40.6289915;14.4867525
243;via Fiume 73;Trentino – Alto Adige/Südtirol;45.8863128;10.8397092
244;via Defregger 14;Trentino – Alto Adige/Südtirol;46.5074112;11.3360738
245;via Sant'Agata 14;Umbria;42.7335468;12.7353332
246;Località Spaltenna 13;Tuscany;43.467;11.4339
247;via Agostino Depretis 24;Campania;40.842815;14.2548749
248;località Monte Pugliano 1;Campania;41.2344;14.5475
249;via Venezia 28;Trentino – Alto Adige/Südtirol;46.3481844;11.0929614
250;via Imbriani 11/13;Apulia;41.355344;16.0902197
251;via Baldassini 2;Marche;43.9093099;12.9143998
252;strada de Roncac 7;Trentino – Alto Adige/Südtirol;46.3821423;11.6511042
253;via Aristotile Fioravanti 4;Lombardy;45.4821969;9.1755313
254;via Olona 38;Lombardy;45.8466959;8.8266993
255;via Francesco Gregorio 40;Campania;40.4459;15.02
256;frazione Annunziata 27/b;Piedmont;44.6365771;7.9541107
257;via Orsa Minore 1;Sardinia;41.2297492;9.1684353
258;via Vieusseux 12;Liguria;43.8895302;8.0402887
259;via Poseidonia 41;Campania;40.4291516;14.985028
260;via Cuccagna 2;Lombardy;45.4511515;9.2114318
261;via Liguria 252;Friuli – Venezia Giulia;46.102311;13.2663329
262;via Troubetzkoy 128;Piedmont;45.9311735;8.5400885
263;via Mirabella 34;Lombardy;45.6607018;9.9947914
264;via Castelfidardo 7;Lombardy;45.478714;9.1894575
265;via G.B. Lama 9;Campania;40.7041;14.6442
266;II rampa Marina Piccola 5;Campania;40.6178;14.3669
267;SP 62 24, località Curina;Tuscany;43.3031;11.4261
268;via Santo Spirito 64/66 r;Tuscany;43.7689468;11.2470266
269;via Roma 1;Lombardy;45.6615182;8.7890205
270;SP 21, contrada San Vincenzo;Campania;41.145;14.3628
271;via Risorgimento 188;Sicily;38.5593001;14.8715653
272;via Orsa Minore 1;Emilia-Romagna;44.162806;12.4496235
273;via Forzieri 12;Emilia-Romagna;44.0648512;12.5634351
274;via Pietro Custodi 5;Piedmont;45.4778856;8.6974915
275;via Capitan Goro 10;Tuscany;43.4357;11.6497
276;viale Vittorio Veneto 169;Lombardy;45.8349605;9.6656487
277;piazza Cappelletto 1, località Rio San Martino;Veneto;45.5923;12.1116
278;viale San Pancrazio 46;Sicily;37.8554744;15.2900234
279;piazza Tasso 34;Campania;40.628455;14.3757592
280;piazza del Donatore 3/4;Veneto;45.409608;11.4527078
281;via Sbrisi 3;Emilia-Romagna;45.0205495;10.0933327
282;piazza Matteotti 36;Piedmont;46.1150732;8.2961134
283;piazza San Vincenzo 1;Lombardy;45.8844345;9.5487522
284;piazza Municipio 2;Lombardy;45.2052;9.8191
285;valle Asinari 25;Piedmont;44.7403896;8.3185184
286;strada Dolomites 103;Trentino – Alto Adige/Südtirol;46.4282785;11.6839431
287;via Salde Entrà 60, località Entrà;Emilia-Romagna;44.8438506;11.2009465
288;piazza Municipio;Sicily;38.4674;14.954
289;piazzale Amendola 2;Marche;43.8509887;13.0105315
290;via Sant'Andrea 19;Sardinia;39.3638577;9.0081697
291;via Tignano 3, Loc. Mongardino Grotta;Emilia-Romagna;44.4177905;11.2111947
292;via Roma 34, strada per Dueville;Veneto;45.6633343;11.5598685
293;piazzetta della Vecchia Segheria 1;Piedmont;44.8141933;7.9588916
294;SP per Vibo Marina, località Ponte di Ferro;Calabria;38.7526;16.187
295;località Moscatello 3/5;Lombardy;45.8145;10.7928
296;via Dalmazia 159/d;Tuscany;43.6670001;10.8391611
297;piazza Duomo 6, Ortigia;Sicily;37.059473;15.2931139
298;via San Rocco 40;Piedmont;44.8696;8.4077
299;via Stelvio 297, loc. Montagna in Valtellina;Lombardy;46.1700875;9.9018283
300;via Cesare Battisti 10;Umbria;42.7926341;13.0922164
301;via Passariello 2, località Marina di Pisciotta;Campania;40.9050443;14.4060337
302;via Lambro 11;Lombardy;45.5839923;9.2765593
303;località Erbin 31;Veneto;45.5667;10.9833
304;via Colombo 101;Liguria;44.2167765;8.3235035
305;via Orfanotrofio 39;Sicily;36.9269496;14.744785
306;via Vittorio Veneto 23;Piedmont;44.6328057;8.6380764
307;via Emilia Ponente 23;Emilia-Romagna;44.2934667;11.8556708
308;Località Fiascherino 7;Liguria;44.0656;9.9262
309;via Mazzini 165;Tuscany;42.7589724;11.1138957
310;piazza Regina Margherita 23;Sicily;36.7418852;15.1195109
311;Località Chiesanuova 39;Liguria;44.1867;9.6262
312;via Laurito 43;Calabria;39.661345;16.3414784
313;piazza Mazzini 14;Veneto;45.2415369;11.7509116
314;via Puccini 5;Marche;43.2575776;13.7412194
315;salita inferiore Sant'Anna 13r;Liguria;44.412277;8.9351866
316;SS 131 km 244,400 - regione Li Lioni;Sardinia;40.80646;8.4316
